YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2012,1,3,5,22.61,17.76,20.19,12.7,74.12,0,100.66,0.7,10.3
2012,1,3,6,22.08,17.84,19.96,12.7,76.81,0,100.74,0.86,19.76
2012,1,3,7,22.65,18.97,20.81,13.67,79.75,0,100.83,1.14,18.31
2012,1,3,8,25.4,18.51,21.95,13.31,65.88,0,100.91,0.51,342.96
2012,1,3,9,28.11,17.21,22.65,12.21,51.5,0,100.92,1.04,276.01
2012,1,3,10,28.97,17.73,23.34,12.57,50.62,0,100.89,1.8,283.31
2012,1,3,11,29.71,18.15,23.93,12.94,49.81,0,100.83,2,285.88
2012,1,3,12,30.3,18.4,24.35,13.18,48.94,0,100.72,1.94,281.85
2012,1,3,13,30.3,18.49,24.39,13.24,49.25,0,100.61,1.9,274.47
2012,1,3,14,30.37,18.57,24.47,13.37,49.31,0,100.52,2,266.42
2012,1,3,15,30.05,18.66,24.35,13.43,50.5,0,100.46,2.11,260.82
2012,1,3,16,29.81,19.01,24.41,13.73,52.38,0,100.47,1.94,256.24
2012,1,3,17,28.28,20.04,24.16,14.71,61.25,0,100.51,1.87,251.94
2012,1,3,18,26.01,20.85,23.43,15.38,73.19,0,100.57,2.02,256.13
2012,1,3,19,25.09,20.26,22.68,14.83,74.5,0,100.64,2.16,262.93
2012,1,3,20,24.3,19.82,22.06,14.4,75.94,0,100.71,2.21,275.89
2012,1,3,21,23.5,19.32,21.41,13.98,77.38,0,100.76,2.43,295.49
2012,1,3,22,22.65,18.76,20.7,13.49,78.62,0,100.77,2.57,315.74
2012,1,3,23,21.9,18.29,20.1,13.06,79.81,0,100.76,2.64,334.19
2012,1,4,0,21.4,17.92,19.66,12.76,80.44,0,100.71,2.66,348.33
2012,1,4,1,21,17.62,19.31,12.57,80.94,0,100.64,2.68,0
2012,1,4,2,20.77,17.48,19.12,12.45,81.38,0,100.59,2.65,6.27
2012,1,4,3,20.61,17.43,19.01,12.39,81.94,0,100.59,2.57,9.26
2012,1,4,4,20.4,17.37,18.89,12.33,82.62,0,100.6,2.54,13.69
2012,1,4,5,20.08,17.25,18.66,12.27,83.69,0,100.64,2.63,15.85
2012,1,4,6,19.73,17.07,18.4,12.08,84.62,0,100.72,2.84,15.64
2012,1,4,7,20.42,17.21,18.81,12.21,81.81,0,100.84,3.24,9.71
2012,1,4,8,21.43,17.38,19.4,12.33,77.75,0,100.92,3.22,356.38
2012,1,4,9,23.44,17.99,20.72,12.82,71.56,0,100.91,3.12,345.37
2012,1,4,10,25.94,16.12,21.03,11.41,54.75,0,100.85,4.12,0.76
2012,1,4,11,27.48,15.05,21.26,10.62,46.62,0,100.78,4.3,10.88
2012,1,4,12,28.55,14.94,21.75,10.56,43.5,0,100.69,3.97,14.58
2012,1,4,13,29.16,15.18,22.17,10.74,42.69,0,100.58,3.26,15.57
2012,1,4,14,29.4,15.68,22.54,11.11,43.5,0,100.47,2.25,18.25
2012,1,4,15,29.36,15.92,22.64,11.29,44.19,0,100.41,1.3,8.95
2012,1,4,16,29.15,16.17,22.66,11.47,45.5,0,100.42,0.82,329.51
2012,1,4,17,27.51,18.91,23.21,13.73,60,0,100.48,0.92,295.25
2012,1,4,18,25.68,18.79,22.23,13.49,65.69,0,100.55,1.28,289.21
2012,1,4,19,25.28,17.91,21.6,12.76,63.62,0,100.63,1.17,289.04
2012,1,4,20,25.07,17.33,21.2,12.27,62.06,0,100.7,0.88,291.8
2012,1,4,21,25.19,16.45,20.82,11.6,58.31,0,100.74,0.66,295.06
2012,1,4,22,25.05,15.99,20.52,11.29,57.06,0,100.74,0.47,295.71
2012,1,4,23,24.73,15.79,20.26,11.17,57.5,0,100.73,0.36,286.46
2012,1,5,0,24.26,15.9,20.08,11.23,59.69,0,100.69,0.49,283.82
2012,1,5,1,23.73,15.82,19.77,11.17,61.19,0,100.66,0.71,286.03
2012,1,5,2,23.3,15.68,19.49,11.05,62.19,0,100.65,0.77,284.04
2012,1,5,3,23.07,15.52,19.3,10.99,62.44,0,100.66,0.63,279.93
2012,1,5,4,22.88,15.52,19.2,10.99,63.25,0,100.68,0.39,274.57
2012,1,5,5,22.67,15.48,19.08,10.93,63.88,0,100.7,0.15,304.51
2012,1,5,6,22.19,15.83,19.01,11.17,67.31,0,100.75,0.44,14.53
2012,1,5,7,22.18,17.48,19.83,12.39,74.62,0,100.82,0.97,16.39
2012,1,5,8,23.08,17.55,20.31,12.45,71.06,0,100.88,1.47,7.92
2012,1,5,9,25.23,17.26,21.25,12.21,61.31,0,100.9,1.12,329.51
2012,1,5,10,27.16,17.07,22.12,12.08,53.94,0,100.88,1.3,293.02
2012,1,5,11,28.33,17.3,22.81,12.27,51.12,0,100.85,1.78,281.66
2012,1,5,12,29.06,17.56,23.31,12.45,49.88,0,100.81,2.1,278.13
2012,1,5,13,28.58,17.76,23.17,12.63,51.88,0,100.72,1.99,273.83
2012,1,5,14,28.55,18.3,23.42,13.12,53.88,0,100.62,1.75,270
2012,1,5,15,28.88,17.91,23.4,12.82,51.62,0,100.57,1.69,262.81
2012,1,5,16,27.99,18.1,23.05,12.94,55,0,100.58,1.79,257.12
2012,1,5,17,26.46,20.94,23.7,15.5,71.88,0,100.63,1.7,258.59
2012,1,5,18,25.34,20.59,22.97,15.08,74.88,0,100.69,1.88,264.76
2012,1,5,19,24.82,20.33,22.58,14.83,76,0,100.76,1.93,271.16
2012,1,5,20,24.37,20.21,22.29,14.71,77.44,0,100.81,1.91,280.12
2012,1,5,21,23.88,20.05,21.97,14.59,79.06,0,100.84,1.9,291.19
2012,1,5,22,23.3,19.85,21.58,14.4,80.88,0,100.84,1.87,302.56
2012,1,5,23,22.75,19.61,21.18,14.16,82.31,0,100.83,1.85,313.12
2012,1,6,0,22.25,19.36,20.8,13.98,83.56,0,100.8,1.83,322.98
2012,1,6,1,21.92,19.08,20.51,13.73,83.81,0.06,100.75,1.81,333.32
2012,1,6,2,21.8,18.74,20.27,13.43,82.62,0.06,100.71,1.68,346.81
2012,1,6,3,21.82,18.37,20.1,13.12,80.69,0.05,100.7,1.52,5.89
2012,1,6,4,21.62,18.33,19.98,13.12,81.5,0.04,100.7,1.58,27.71
2012,1,6,5,21.25,18.51,19.87,13.24,84.31,0.04,100.71,1.79,41.12
2012,1,6,6,20.96,18.69,19.82,13.43,86.75,0.05,100.74,1.94,45.98
2012,1,6,7,22.05,19.79,20.92,14.34,86.94,0.06,100.82,1.86,46.02
2012,1,6,8,23.36,19.79,21.57,14.34,80.44,0.07,100.91,2.28,43.05
2012,1,6,9,26.17,19.46,22.82,14.04,66.56,0.11,100.94,1.62,21.14
2012,1,6,10,28.09,19.09,23.59,13.73,58,0.2,100.9,1.98,0
2012,1,6,11,29.15,18.98,24.07,13.61,54.19,0.23,100.83,2.42,352.97
2012,1,6,12,29.7,18.58,24.14,13.31,51.19,0.23,100.74,2.67,349.22
2012,1,6,13,29.86,18.1,23.98,12.94,49.25,0.2,100.62,2.72,345.88
2012,1,6,14,29.83,17.65,23.74,12.57,47.94,0.13,100.53,2.75,341.82
2012,1,6,15,29.54,17.69,23.62,12.63,49,0.09,100.47,2.57,339.14
2012,1,6,16,28.83,17.12,22.98,12.15,49.19,0.05,100.48,2.62,336.11
2012,1,6,17,26.51,19.38,22.94,14.1,65.06,0.02,100.52,2.41,335.85
2012,1,6,18,23.9,18.89,21.4,13.61,73.44,0.01,100.58,2.75,338.53
2012,1,6,19,22.91,18.05,20.48,12.88,73.94,0,100.66,2.89,341.57
2012,1,6,20,22.29,17.59,19.94,12.51,74.62,0,100.73,2.88,343.78
2012,1,6,21,21.83,17.27,19.55,12.27,75.19,0,100.75,2.78,345.69
2012,1,6,22,21.63,17.01,19.32,12.02,74.81,0,100.73,2.56,349.62
2012,1,6,23,21.78,16.48,19.13,11.66,71.75,0,100.69,2.15,356.67
2012,1,7,0,22.08,15.64,18.86,11.05,66.81,0.01,100.65,1.7,6.86
2012,1,7,1,22.2,14.92,18.56,10.56,63.31,0,100.6,1.35,18.23
2012,1,7,2,22.08,14.52,18.3,10.31,62.19,0,100.57,1.15,29.7
2012,1,7,3,21.83,14.39,18.12,10.19,62.62,0.01,100.57,1.1,40.12
2012,1,7,4,21.31,14.62,17.96,10.38,65.62,0.02,100.59,1.32,43.56
2012,1,7,5,20.59,15.01,17.8,10.62,70.31,0.02,100.64,1.61,43.04
2012,1,7,6,19.87,15.47,17.67,10.93,75.69,0.03,100.71,1.85,42.09
2012,1,7,7,20.6,17.32,18.96,12.27,81.44,0.04,100.83,1.75,39.22
2012,1,7,8,21.98,16.52,19.25,11.66,71.19,0.06,100.93,2.34,30.77
2012,1,7,9,23.51,16.29,19.9,11.47,63.88,0.11,100.97,2.4,10.87
2012,1,7,10,25.48,16.34,20.91,11.54,56.94,0.16,100.94,2.7,352.36
2012,1,7,11,27.32,15.94,21.62,11.23,49.81,0.2,100.87,2.64,344.57
2012,1,7,12,28.4,15.87,22.14,11.23,46.56,0.15,100.76,2.14,341.04
2012,1,7,13,28.95,16.04,22.49,11.35,45.62,0.13,100.63,1.56,332.28
2012,1,7,14,29.08,16.29,22.69,11.54,46.06,0.09,100.52,1.18,311.51
2012,1,7,15,28.94,16.65,22.8,11.84,47.44,0.07,100.48,1.07,288.7
2012,1,7,16,29.03,16.9,22.97,12.02,48.06,0.02,100.48,1.1,275.31
2012,1,7,17,27.61,18.8,23.2,13.67,59.19,0.02,100.52,1.19,273.39
2012,1,7,18,25.89,18.42,22.15,13.18,63.38,0.01,100.57,1.49,281.78
2012,1,7,19,25,18.01,21.51,12.88,65.12,0.01,100.64,1.68,291.9
2012,1,7,20,24.14,17.95,21.05,12.82,68.25,0.01,100.7,1.82,303.08
2012,1,7,21,23.27,17.86,20.57,12.7,71.5,0.02,100.72,1.96,312.74
2012,1,7,22,22.58,17.69,20.13,12.57,73.75,0.03,100.73,1.96,321.8
2012,1,7,23,22.15,17.32,19.73,12.27,74,0.04,100.71,1.78,332.19
2012,1,8,0,21.97,16.84,19.4,11.9,72.56,0.04,100.67,1.57,345.27
2012,1,8,1,21.76,16.43,19.09,11.6,71.62,0.05,100.61,1.41,0.64
2012,1,8,2,21.51,16.15,18.83,11.41,71.5,0.05,100.57,1.35,16.45
2012,1,8,3,21.19,16.08,18.64,11.35,72.56,0.06,100.57,1.41,30.26
2012,1,8,4,20.87,16.16,18.51,11.41,74.44,0.05,100.6,1.52,39.35
2012,1,8,5,20.46,16.4,18.43,11.6,77.38,0.05,100.64,1.63,44.42
2012,1,8,6,20.08,16.72,18.4,11.84,80.88,0.05,100.71,1.71,46.85
2012,1,8,7,21.15,18.47,19.8,13.24,84.69,0.05,100.79,1.61,46.38
2012,1,8,8,22.56,18.31,20.44,13.12,77,0.06,100.88,1.75,43.91
2012,1,8,9,24.42,17.83,21.13,12.7,66.69,0.12,100.89,1.04,24.44
2012,1,8,10,27.27,16.55,21.91,11.66,51.88,0.16,100.85,0.76,310.86
2012,1,8,11,28.85,16.39,22.62,11.6,46.88,0.21,100.79,1.12,285.78
2012,1,8,12,29.68,16.8,23.24,11.9,45.88,0.22,100.71,1.37,280.54
2012,1,8,13,29.94,17.3,23.62,12.27,46.69,0.22,100.62,1.5,272.98
2012,1,8,14,30.08,17.61,23.84,12.51,47.19,0.17,100.55,1.47,266.04
2012,1,8,15,29.87,18.24,24.05,13.06,49.69,0.12,100.5,1.25,259.18
2012,1,8,16,30.05,18.3,24.18,13.24,49.75,0.06,100.5,1.09,248.05
2012,1,8,17,28.22,20.61,24.41,15.44,64.44,0.04,100.55,1.1,239.6
2012,1,8,18,26.76,20.01,23.39,14.59,66.5,0.03,100.61,1.44,242.6
2012,1,8,19,25.94,19.9,22.92,14.47,69.38,0.02,100.68,1.7,246.97
2012,1,8,20,25.37,20.03,22.69,14.59,72.25,0.02,100.75,1.77,252.28
2012,1,8,21,24.91,20.05,22.48,14.59,74.31,0.02,100.77,1.75,259.44
2012,1,8,22,24.62,19.95,22.29,14.53,75.19,0.02,100.76,1.59,270
2012,1,8,23,24.44,19.69,22.06,14.28,74.88,0.03,100.73,1.34,283.14
2012,1,9,0,24.15,19.46,21.8,14.1,75,0.03,100.67,1.11,299.64
2012,1,9,1,23.69,19.31,21.5,13.98,76.5,0.03,100.61,0.99,319.5
2012,1,9,2,23.3,19.15,21.23,13.79,77.38,0.03,100.57,1.03,335.38
2012,1,9,3,22.94,19,20.97,13.67,78.38,0.03,100.58,1.12,346.74
2012,1,9,4,22.68,18.8,20.74,13.49,78.69,0.03,100.61,1.12,359.6
2012,1,9,5,22.45,18.66,20.55,13.43,79.12,0.03,100.64,1.11,16.39
2012,1,9,6,22.1,18.8,20.45,13.49,81.5,0.03,100.68,1.23,29.34
2012,1,9,7,22.74,20.2,21.48,14.77,85.56,0.04,100.76,1.33,32.29
2012,1,9,8,24.02,19.96,21.99,14.53,78.12,0.04,100.84,1.29,24.24
2012,1,9,9,26.29,20.03,23.16,14.59,68.44,0.08,100.84,1.12,336.64
2012,1,9,10,28.3,20.29,24.3,14.83,61.81,0.11,100.8,1.47,329.77
2012,1,9,11,29.5,20.51,25.01,15.01,58.44,0.11,100.74,1.58,340.31
2012,1,9,12,30.32,20.76,25.54,15.26,56.62,0.11,100.65,1.54,347.38
2012,1,9,13,30.79,20.94,25.87,15.5,55.75,0.15,100.55,1.47,352.65
2012,1,9,14,30.92,20.96,25.94,15.5,55.44,0.15,100.47,1.44,356.89
2012,1,9,15,30.73,20.97,25.85,15.5,56,0.1,100.44,1.56,356.84
2012,1,9,16,30.23,21.47,25.85,15.99,59.5,0.05,100.46,1.54,348.86
2012,1,9,17,28.9,21.65,25.27,16.17,65,0.05,100.5,1.68,339.88
2012,1,9,18,26.41,22.41,24.41,16.97,78.62,0.04,100.56,1.8,329.21
2012,1,9,19,25.35,21.58,23.46,16.05,79.56,0.04,100.64,2.01,324.64
2012,1,9,20,24.65,21.01,22.83,15.5,80.12,0.05,100.7,1.98,321.41
2012,1,9,21,24.26,20.4,22.33,14.95,79,0.05,100.73,1.87,318.9
2012,1,9,22,24.08,19.7,21.89,14.28,76.5,0.07,100.72,1.66,319.78
2012,1,9,23,23.86,19.05,21.46,13.73,74.44,0.07,100.7,1.49,324.39
2012,1,10,0,23.5,18.51,21.01,13.31,73.56,0.07,100.65,1.41,330.02
2012,1,10,1,23.02,18.07,20.55,12.94,73.56,0.07,100.59,1.41,335.14
2012,1,10,2,22.55,17.62,20.08,12.57,73.69,0.06,100.56,1.44,342.65
2012,1,10,3,22.04,17.28,19.66,12.27,74.38,0.06,100.55,1.53,353.24
2012,1,10,4,21.48,17.05,19.26,12.08,75.81,0.05,100.58,1.63,4.12
2012,1,10,5,20.81,17.01,18.9,12.08,78.75,0.04,100.62,1.78,12.94
2012,1,10,6,20.08,17.11,18.6,12.15,82.88,0.03,100.69,1.94,17.56
2012,1,10,7,21.35,18.08,19.72,12.94,81.62,0.04,100.77,2.13,18.17
2012,1,10,8,22.76,17.87,20.32,12.76,74.06,0.07,100.85,2.52,12.7
2012,1,10,9,25.09,17.49,21.3,12.45,62.69,0.11,100.84,2.39,356.81
2012,1,10,10,27.35,16.92,22.14,11.96,52.88,0.15,100.79,2.51,347.39
2012,1,10,11,29.01,16.71,22.86,11.84,47.44,0.19,100.72,2.33,340.66
2012,1,10,12,30.05,17.03,23.54,12.08,45.62,0.26,100.65,1.95,331.08
2012,1,10,13,30.6,17.41,24.01,12.39,45.31,0.25,100.56,1.7,314.26
2012,1,10,14,30.81,17.88,24.35,12.82,46.12,0.17,100.5,1.66,294.4
2012,1,10,15,30.62,18.46,24.54,13.31,48.31,0.08,100.47,1.78,280.37
2012,1,10,16,30.53,19.13,24.83,13.85,50.69,0.05,100.48,1.78,271.01
2012,1,10,17,29.12,19.76,24.44,14.47,57.44,0.03,100.51,1.85,262.97
2012,1,10,18,26.59,20.62,23.61,15.2,69.81,0.02,100.56,2.02,259.52
2012,1,10,19,25.65,20,22.83,14.59,70.88,0.02,100.62,2.19,257.25
2012,1,10,20,25.02,19.78,22.4,14.34,72.56,0.02,100.69,2.22,255.33
2012,1,10,21,24.51,19.66,22.08,14.22,74.31,0.02,100.71,2.17,254.31
2012,1,10,22,24.15,19.5,21.83,14.1,75.12,0.03,100.7,2.01,256.29
2012,1,10,23,23.95,19.2,21.58,13.85,74.69,0.04,100.67,1.77,262.41
2012,1,11,0,23.74,18.81,21.27,13.55,73.88,0.04,100.63,1.53,272.34
2012,1,11,1,23.42,18.38,20.9,13.18,73.25,0,100.57,1.29,287.23
2012,1,11,2,23.23,17.88,20.55,12.76,71.81,0,100.55,1.01,305.28
2012,1,11,3,22.98,17.58,20.28,12.51,71.62,0,100.56,0.93,334.72
2012,1,11,4,22.29,17.69,19.98,12.57,75.12,0,100.59,1.24,356.02
2012,1,11,5,21.33,17.98,19.65,12.82,81.12,0,100.62,1.7,2.9
2012,1,11,6,20.33,18.2,19.26,13,87.62,0,100.68,2.14,5.02
2012,1,11,7,21.69,19.06,20.38,13.79,85.31,0,100.77,2.87,5.94
2012,1,11,8,23.16,19.44,21.3,14.1,79.88,0,100.83,3.22,2.64
2012,1,11,9,25.65,18.87,22.26,13.55,66.19,0.01,100.83,3.32,353.78
2012,1,11,10,27.8,18.33,23.06,13.12,56.38,0.02,100.78,3.65,348.26
2012,1,11,11,29.24,18.44,23.84,13.18,52.19,0.02,100.71,3.78,346.74
2012,1,11,12,30.1,18.48,24.3,13.24,49.81,0.01,100.63,3.7,347.31
2012,1,11,13,30.37,18.12,24.24,13,48.06,0.01,100.55,3.35,346.81
2012,1,11,14,30.4,17.81,24.11,12.76,47.06,0.01,100.5,2.92,343.07
2012,1,11,15,30.02,17.62,23.83,12.63,47.5,0,100.46,2.53,337.64
2012,1,11,16,29.61,17.81,23.71,12.76,49.25,0,100.45,2.02,330.26
2012,1,11,17,27.74,18.96,23.35,13.73,59.12,0,100.48,1.86,320.44
2012,1,11,18,25.15,19.37,22.26,14.04,70.31,0,100.53,2.13,312.47
2012,1,11,19,24.15,18.48,21.31,13.24,70.56,0,100.6,2.37,308.31
2012,1,11,20,23.41,17.96,20.69,12.82,71.38,0,100.68,2.47,305.85
2012,1,11,21,22.81,17.54,20.18,12.45,72,0.01,100.72,2.45,304.75
2012,1,11,22,22.47,17.07,19.77,12.08,71.44,0.01,100.74,2.26,307.15
2012,1,11,23,22.38,16.52,19.45,11.66,69.38,0.01,100.74,1.99,313.73
2012,1,12,0,22.23,16.08,19.15,11.35,68.12,0.01,100.7,1.79,324.23
2012,1,12,1,21.9,15.87,18.89,11.23,68.5,0.01,100.65,1.75,336.06
2012,1,12,2,21.51,15.76,18.64,11.17,69.75,0.01,100.6,1.8,347.71
2012,1,12,3,21.1,15.75,18.42,11.11,71.44,0.01,100.58,1.86,358.56
2012,1,12,4,20.59,15.88,18.24,11.23,74.31,0.01,100.6,1.95,9.91
2012,1,12,5,19.83,16.2,18.01,11.47,79.5,0.01,100.64,2.13,20.36
2012,1,12,6,19.26,16.4,17.83,11.6,83.5,0.01,100.7,2.39,27.4
2012,1,12,7,20.55,17.06,18.8,12.15,80.56,0.01,100.8,2.79,29.72
2012,1,12,8,21.97,17.23,19.6,12.21,74.56,0.01,100.89,3.09,28.18
2012,1,12,9,24.31,17.12,20.71,12.08,64.12,0.01,100.92,2.59,14.5
2012,1,12,10,26.67,16.67,21.67,11.78,54.19,0.01,100.89,2.37,358.11
2012,1,12,11,28.51,16.45,22.48,11.6,48,0.02,100.83,2,336.33
2012,1,12,12,29.55,16.73,23.14,11.84,46.06,0.02,100.74,1.96,310.8
2012,1,12,13,29.87,17.17,23.52,12.21,46.44,0.02,100.63,2.17,294.44
2012,1,12,14,30.05,17.47,23.76,12.45,46.88,0.02,100.55,2.37,286.1
2012,1,12,15,29.75,17.9,23.83,12.82,49.06,0.01,100.51,2.49,282.51
2012,1,12,16,29.34,18.67,24.01,13.43,52.75,0.01,100.54,2.38,282.49
2012,1,12,17,27.42,20.48,23.95,15.08,66.12,0.01,100.61,2.24,286.85
2012,1,12,18,24.96,20.26,22.62,14.83,75.12,0.01,100.7,2.45,296.48
2012,1,12,19,24.02,19.55,21.79,14.1,75.94,0.01,100.8,2.62,306.39
2012,1,12,20,23.29,18.99,21.14,13.67,76.69,0.01,100.87,2.72,316.4
2012,1,12,21,22.65,18.52,20.58,13.24,77.38,0.01,100.91,2.81,326
2012,1,12,22,22.14,18.05,20.09,12.88,77.56,0.01,100.9,2.71,336.54
2012,1,12,23,21.78,17.73,19.76,12.57,77.69,0.01,100.88,2.56,347.83
2012,1,13,0,21.58,17.47,19.52,12.39,77.31,0.01,100.84,2.38,358.87
2012,1,13,1,21.59,17.12,19.36,12.15,75.62,0,100.77,2.21,10
2012,1,13,2,21.58,16.76,19.18,11.84,73.88,0,100.72,2.04,22.54
2012,1,13,3,21.27,16.71,18.99,11.84,75.12,0,100.72,2.04,30.89
2012,1,13,4,20.63,16.82,18.73,11.9,78.69,0,100.73,2.17,27.49
2012,1,13,5,20.04,16.81,18.42,11.9,81.56,0,100.76,2.4,19.38
2012,1,13,6,19.55,16.73,18.14,11.84,83.62,0,100.81,2.54,15.36
2012,1,13,7,20.51,17.04,18.77,12.08,80.56,0,100.88,2.68,15.05
2012,1,13,8,21.59,17.17,19.38,12.15,75.94,0,100.95,2.52,10.89
2012,1,13,9,23.83,17.03,20.44,12.02,65.62,0,100.94,2.14,359.58
2012,1,13,10,26.19,15.7,20.95,11.05,52.44,0,100.9,1.74,357.18
2012,1,13,11,28.62,14.9,21.76,10.5,43.19,0,100.84,0.58,333.78
2012,1,13,12,29.97,15.94,22.95,11.29,42.75,0,100.75,0.89,239.38
2012,1,13,13,30.26,16.9,23.58,11.96,44.69,0,100.65,1.6,235.77
2012,1,13,14,30.34,17.51,23.92,12.45,46.19,0,100.58,2.16,239.07
2012,1,13,15,29.97,18.23,24.1,13.06,49.44,0,100.55,2.44,244.42
2012,1,13,16,29.54,18.91,24.23,13.67,52.94,0,100.57,2.32,251.99
2012,1,13,17,27.81,20.82,24.31,15.44,66.06,0,100.63,1.97,263.16
2012,1,13,18,25.87,20.49,23.19,15.01,72.19,0,100.7,1.96,281.49
2012,1,13,19,25.2,19.73,22.46,14.28,71.56,0,100.78,1.92,305.05
2012,1,13,20,24.38,19.34,21.87,13.98,73.44,0,100.85,2.01,330.14
2012,1,13,21,23.47,19.1,21.28,13.73,76.38,0,100.88,2.26,350.24
2012,1,13,22,22.65,18.82,20.73,13.49,78.81,0,100.87,2.48,5.24
2012,1,13,23,21.98,18.51,20.25,13.24,80.56,0,100.83,2.54,15.32
2012,1,14,0,21.48,18.2,19.83,13,81.5,0,100.77,2.52,21.87
2012,1,14,1,21.08,17.92,19.5,12.76,82.06,0,100.71,2.44,26.07
2012,1,14,2,20.75,17.68,19.21,12.57,82.5,0,100.66,2.33,29.05
2012,1,14,3,20.41,17.51,18.96,12.45,83.31,0,100.63,2.22,29.27
2012,1,14,4,19.97,17.44,18.7,12.39,85.31,0,100.63,2.24,23.17
